ML_ID,Species,Tags
394414711,Bufflehead,Ducks photo flying
320297921,Bufflehead,Ducks photo flying
613412950,Bufflehead,Ducks photo flying
299184641,Bufflehead,Ducks photo flying
509598581,Bufflehead,Ducks photo flying
317788171,Bufflehead,Ducks photo flying
545363911,Bufflehead,Ducks photo flying
634390771,Bufflehead,Ducks photo flying
633297859,Bufflehead,Ducks photo flying
202013991,Bufflehead,Ducks photo flying
220212011,Bufflehead,Ducks photo flying
317788151,Bufflehead,Ducks photo flying
610338779,Common Goldeneye,Ducks photo flying
614489528,Common Goldeneye,Ducks photo flying
609571807,Common Goldeneye,Ducks photo flying
614873128,Common Goldeneye,Ducks photo flying
311899691,Common Goldeneye,Ducks photo flying
391258461,Common Goldeneye,Ducks photo flying
415702031,Common Goldeneye,Ducks photo flying
613176193,Common Goldeneye,Ducks photo flying
320397301,Common Goldeneye,Ducks photo flying
403556271,Common Goldeneye,Ducks photo flying
539355241,Common Goldeneye,Ducks photo flying
515994391,Common Goldeneye,Ducks photo flying
545696531,Common Merganser,Ducks photo flying
25686071,Common Merganser,Ducks photo flying
205195991,Common Merganser,Ducks photo flying
390778741,Common Merganser,Ducks photo flying
477048071,Common Merganser,Ducks photo flying
268213201,Common Merganser,Ducks photo flying
566084681,Common Merganser,Ducks photo flying
498508291,Common Merganser,Ducks photo flying
93724441,Common Merganser,Ducks photo flying
640743433,Common Merganser,Ducks photo flying
622508807,Hooded Merganser,Ducks photo flying
295166201,Hooded Merganser,Ducks photo flying
391675441,Hooded Merganser,Ducks photo flying
629917168,Hooded Merganser,Ducks photo flying
391675351,Hooded Merganser,Ducks photo flying
622508820,Hooded Merganser,Ducks photo flying
631502041,Hooded Merganser,Ducks photo flying
278714781,Hooded Merganser,Ducks photo flying
498158041,Hooded Merganser,Ducks photo flying
621647331,Hooded Merganser,Ducks photo flying
208095791,Hooded Merganser,Ducks photo flying
630016492,Hooded Merganser,Ducks photo flying
278381071,Hooded Merganser,Ducks photo flying
25698121,Hooded Merganser,Ducks photo flying
415640151,Hooded Merganser,Ducks photo flying
634329439,Red-Breasted Merganser,Ducks photo flying
279726021,Red-Breasted Merganser,Ducks photo flying
619741529,Red-Breasted Merganser,Ducks photo flying
174504001,Red-Breasted Merganser,Ducks photo flying
437949521,Red-Breasted Merganser,Ducks photo flying
614175006,Red-Breasted Merganser,Ducks photo flying
631263309,Red-Breasted Merganser,Ducks photo flying
612941777,Red-Breasted Merganser,Ducks photo flying
626132924,Red-Breasted Merganser,Ducks photo flying
189952141,Red-Breasted Merganser,Ducks photo flying
625930452,Ruddy Duck,Ducks photo flying
375786971,Ruddy Duck,Ducks photo flying
614169968,Ruddy Duck,Ducks photo flying
351593221,Ruddy Duck,Ducks photo flying
637771006,Ruddy Duck,Ducks photo flying
610951401,Ruddy Duck,Ducks photo flying
624646762,Ruddy Duck,Ducks photo flying
634055495,Ruddy Duck,Ducks photo flying
71682721,Ruddy Duck,Ducks photo flying
192817811,Ruddy Duck,Ducks photo flying
612404407,Ruddy Duck,Ducks photo flying
631732672,Ruddy Duck,Ducks photo flying
